Date,Type,Time,Height,Location,Long,Lat,State,Local_time
Sun 6 Dec,High,3:07 pm,1.00 m,Ballina,151.3803,-32.8428,NSW,2020-12-07T02:07:00+11:00
Mon 7 Dec,High,4:18 pm,1.06 m,Ballina,151.3803,-32.165,NSW,2020-12-08T03:18:00+11:00
Tue 8 Dec,High,5:28 pm,1.18 m,Ballina,151.3803,-24.2125,NSW,2020-12-09T04:28:00+11:00
Wed 9 Dec,High,6:29 pm,1.32 m,Ballina,151.3803,-20.2744,NSW,2020-12-10T05:29:00+11:00
Thu 10 Dec,High,7:24 pm,1.48 m,Ballina,151.3803,-36.0806,NSW,2020-12-11T06:24:00+11:00
Fri 11 Dec,Low,1:33 pm,0.22 m,Ballina,151.3803,-37.1917,NSW,2020-12-12T00:33:00+11:00
Sat 12 Dec,Low,2:17 pm,0.19 m,Ballina,151.3803,-23.7,NSW,2020-12-13T01:17:00+11:00
Sun 13 Dec,Low,3:00 pm,0.18 m,Ballina,151.3803,-38.3861,NSW,2020-12-14T02:00:00+11:00
Mon 14 Dec,Low,3:45 pm,0.19 m,Ballina,151.3803,-19.4239,NSW,2020-12-15T02:45:00+11:00
Tue 15 Dec,Low,4:29 pm,0.22 m,Ballina,151.3803,-21.0931,NSW,2020-12-16T03:29:00+11:00
Wed 16 Dec,Low,5:14 pm,0.26 m,Ballina,151.3803,-38.4064,NSW,2020-12-17T04:14:00+11:00
Thu 17 Dec,Low,5:59 pm,0.33 m,Ballina,151.3803,-32.7817,NSW,2020-12-18T04:59:00+11:00
Fri 18 Dec,High,1:27 pm,1.02 m,Ballina,151.3803,-30.5,NSW,2020-12-19T00:27:00+11:00
Sat 19 Dec,High,2:18 pm,1.01 m,Ballina,151.3803,-36.9,NSW,2020-12-20T01:18:00+11:00
Sun 6 Dec,Low,8:21 pm,0.53 m,Ballina,151.3803,-32.8428,NSW,2020-12-07T07:21:00+11:00
Mon 7 Dec,Low,9:36 pm,0.57 m,Ballina,151.3803,-32.165,NSW,2020-12-08T08:36:00+11:00
Tue 8 Dec,Low,10:57 pm,0.58 m,Ballina,151.3803,-24.2125,NSW,2020-12-09T09:57:00+11:00
Wed 9 Dec,Low,12:15 am,0.54 m,Ballina,151.3803,-20.2744,NSW,2020-12-10T11:15:00+11:00
Thu 10 Dec,Low,1:25 am,0.47 m,Ballina,151.3803,-36.0806,NSW,2020-12-11T12:25:00+11:00
Fri 11 Dec,High,8:15 pm,1.63 m,Ballina,151.3803,-37.1917,NSW,2020-12-12T07:15:00+11:00
Sat 12 Dec,High,9:06 pm,1.75 m,Ballina,151.3803,-23.7,NSW,2020-12-13T08:06:00+11:00
Sun 13 Dec,High,9:55 pm,1.83 m,Ballina,151.3803,-38.3861,NSW,2020-12-14T08:55:00+11:00
Mon 14 Dec,High,10:43 pm,1.87 m,Ballina,151.3803,-19.4239,NSW,2020-12-15T09:43:00+11:00
Tue 15 Dec,High,11:30 pm,1.86 m,Ballina,151.3803,-21.0931,NSW,2020-12-16T10:30:00+11:00
Wed 16 Dec,High,12:16 am,1.80 m,Ballina,151.3803,-38.4064,NSW,2020-12-17T11:16:00+11:00
Thu 17 Dec,High,1:01 am,1.71 m,Ballina,151.3803,-32.7817,NSW,2020-12-18T12:01:00+11:00
Fri 18 Dec,Low,6:45 pm,0.41 m,Ballina,151.3803,-30.5,NSW,2020-12-19T05:45:00+11:00
Sat 19 Dec,Low,7:36 pm,0.50 m,Ballina,151.3803,-36.9,NSW,2020-12-20T06:36:00+11:00
Sun 6 Dec,High,3:16 am,1.49 m,Ballina,151.3803,-32.8428,NSW,2020-12-07T14:16:00+11:00
Mon 7 Dec,High,4:17 am,1.47 m,Ballina,151.3803,-32.165,NSW,2020-12-08T15:17:00+11:00
Tue 8 Dec,High,5:19 am,1.44 m,Ballina,151.3803,-24.2125,NSW,2020-12-09T16:19:00+11:00
Wed 9 Dec,High,6:20 am,1.42 m,Ballina,151.3803,-20.2744,NSW,2020-12-10T17:20:00+11:00
Thu 10 Dec,High,7:19 am,1.38 m,Ballina,151.3803,-36.0806,NSW,2020-12-11T18:19:00+11:00
Fri 11 Dec,Low,2:29 am,0.39 m,Ballina,151.3803,-37.1917,NSW,2020-12-12T13:29:00+11:00
Sat 12 Dec,Low,3:27 am,0.31 m,Ballina,151.3803,-23.7,NSW,2020-12-13T14:27:00+11:00
Sun 13 Dec,Low,4:22 am,0.25 m,Ballina,151.3803,-38.3861,NSW,2020-12-14T15:22:00+11:00
Mon 14 Dec,Low,5:15 am,0.22 m,Ballina,151.3803,-19.4239,NSW,2020-12-15T16:15:00+11:00
Tue 15 Dec,Low,6:08 am,0.22 m,Ballina,151.3803,-21.0931,NSW,2020-12-16T17:08:00+11:00
Wed 16 Dec,Low,6:59 am,0.25 m,Ballina,151.3803,-38.4064,NSW,2020-12-17T17:59:00+11:00
Thu 17 Dec,Low,7:48 am,0.31 m,Ballina,151.3803,-32.7817,NSW,2020-12-18T18:48:00+11:00
Fri 18 Dec,High,1:45 am,1.60 m,Ballina,151.3803,-30.5,NSW,2020-12-19T12:45:00+11:00
Sat 19 Dec,High,2:29 am,1.48 m,Ballina,151.3803,-36.9,NSW,2020-12-20T13:29:00+11:00
Sun 6 Dec,Low,10:09 am,0.39 m,Ballina,151.3803,-32.8428,NSW,2020-12-07T21:09:00+11:00
